Node1_T,Node2,Mutual_Rank
FBP_(AT5G64380),GAPAB_(AT1G42970),0.000001
FBP_(AT5G64380),GAPC1_(AT3G04120),0.000001
FBP_(AT5G64380),HCEF1_(AT3G54050),0.04455103
FBP_(AT5G64380),PGK_(AT1G56190),0.000001
FBP_(AT5G64380),PGK_(AT1G79550),0.000001
FBP_(AT5G64380),PGK1_(AT3G12780),0.000001
FBP_(AT5G64380),PRK_(AT1G32060),0.000001
FBP_(AT5G64380),RBCS1A_(AT1G67090),0.000001
FBP_(AT5G64380),RBCS1B_(AT5G38430),0.000001
FBP_(AT5G64380),RBCS2B_(AT5G38420),0.000001
FBP_(AT5G64380),RBCS3B_(AT5G38410),0.000001
FBP_(AT5G64380),SBPASE_(AT3G55800),0.000001
FBP_(AT5G64380),TKTB_(AT3G60750),0.000001
GAPA_(AT3G26650),EMB3119_(AT3G04790),0.000001
GAPA_(AT3G26650),FBA1_(AT2G21330),0.000001
GAPA_(AT3G26650),FBA2_(AT4G38970),0.000001
GAPA_(AT3G26650),FBA8_(AAT3G52930),0.000001
GAPA_(AT3G26650),FBP_(AT5G64380),0.000001
GAPA_(AT3G26650),GAPA_(AT3G26650),1
GAPA_(AT3G26650),GAPA-2_(AT1G12900),0.000001
GAPA_(AT3G26650),GAPAB_(AT1G42970),0.943687694
GAPA_(AT3G26650),GAPC1_(AT3G04120),0.000001
GAPA_(AT3G26650),HCEF1_(AT3G54050),0.445516944
GAPA_(AT3G26650),PGK_(AT1G56190),0.000001
GAPA_(AT3G26650),PGK_(AT1G79550),0.000001
GAPA_(AT3G26650),PGK1_(AT3G12780),0.021121158
GAPA_(AT3G26650),PRK_(AT1G32060),0.983576363
GAPA_(AT3G26650),RBCS1A_(AT1G67090),0.000001
GAPA_(AT3G26650),RBCS1B_(AT5G38430),0.000001
GAPA_(AT3G26650),RBCS2B_(AT5G38420),0.000001
GAPA_(AT3G26650),RBCS3B_(AT5G38410),0.000001
GAPA_(AT3G26650),SBPASE_(AT3G55800),0.70050064
GAPA_(AT3G26650),TKTB_(AT3G60750),0.000001
GAPA-2_(AT1G12900),EMB3119_(AT3G04790),0.000001
GAPA-2_(AT1G12900),FBA1_(AT2G21330),0.000001
GAPA-2_(AT1G12900),FBA2_(AT4G38970),0.000001
GAPA-2_(AT1G12900),FBA8_(AAT3G52930),0.000001
GAPA-2_(AT1G12900),FBP_(AT5G64380),0.000001
GAPA-2_(AT1G12900),GAPA_(AT3G26650),0.000001
GAPA-2_(AT1G12900),GAPA-2_(AT1G12900),1
GAPA-2_(AT1G12900),GAPAB_(AT1G42970),0.000001
GAPA-2_(AT1G12900),GAPC1_(AT3G04120),0.000001
GAPA-2_(AT1G12900),HCEF1_(AT3G54050),0.053903493
GAPA-2_(AT1G12900),PGK_(AT1G56190),0.000001
GAPA-2_(AT1G12900),PGK_(AT1G79550),0.000001
GAPA-2_(AT1G12900),PGK1_(AT3G12780),0.000001
GAPA-2_(AT1G12900),PRK_(AT1G32060),0.000001
GAPA-2_(AT1G12900),RBCS1A_(AT1G67090),0.000001
GAPA-2_(AT1G12900),RBCS1B_(AT5G38430),0.000001
GAPA-2_(AT1G12900),RBCS2B_(AT5G38420),0.000001
GAPA-2_(AT1G12900),RBCS3B_(AT5G38410),0.000001
GAPA-2_(AT1G12900),SBPASE_(AT3G55800),0.000001
GAPA-2_(AT1G12900),TKTB_(AT3G60750),0.000001
GAPAB_(AT1G42970),EMB3119_(AT3G04790),0.000001
GAPAB_(AT1G42970),FBA1_(AT2G21330),0.314327451
GAPAB_(AT1G42970),FBA2_(AT4G38970),0.983576363
GAPAB_(AT1G42970),FBA8_(AAT3G52930),0.000001
GAPAB_(AT1G42970),FBP_(AT5G64380),0.000001
GAPAB_(AT1G42970),GAPA_(AT3G26650),0.943687694
GAPAB_(AT1G42970),GAPA-2_(AT1G12900),0.000001
GAPAB_(AT1G42970),GAPAB_(AT1G42970),1
GAPAB_(AT1G42970),GAPC1_(AT3G04120),0.000001
GAPAB_(AT1G42970),HCEF1_(AT3G54050),0.081731156
GAPAB_(AT1G42970),PGK_(AT1G56190),0.000001
GAPAB_(AT1G42970),PGK_(AT1G79550),0.000001
GAPAB_(AT1G42970),PGK1_(AT3G12780),0.135812503
GAPAB_(AT1G42970),PRK_(AT1G32060),0.657335984
GAPAB_(AT1G42970),RBCS1A_(AT1G67090),0.065099397
GAPAB_(AT1G42970),RBCS1B_(AT5G38430),0.000001
GAPAB_(AT1G42970),RBCS2B_(AT5G38420),0.000001
GAPAB_(AT1G42970),RBCS3B_(AT5G38410),0.000001
GAPAB_(AT1G42970),SBPASE_(AT3G55800),1
GAPAB_(AT1G42970),TKTB_(AT3G60750),0.000001
GAPC1_(AT3G04120),EMB3119_(AT3G04790),0.000001
GAPC1_(AT3G04120),FBA1_(AT2G21330),0.000001
GAPC1_(AT3G04120),FBA2_(AT4G38970),0.000001
GAPC1_(AT3G04120),FBA8_(AAT3G52930),0.983576363
GAPC1_(AT3G04120),FBP_(AT5G64380),0.000001
GAPC1_(AT3G04120),GAPA_(AT3G26650),0.000001
GAPC1_(AT3G04120),GAPA-2_(AT1G12900),0.000001
GAPC1_(AT3G04120),GAPAB_(AT1G42970),0.000001
GAPC1_(AT3G04120),GAPC1_(AT3G04120),1
GAPC1_(AT3G04120),HCEF1_(AT3G54050),0.000001
GAPC1_(AT3G04120),PGK_(AT1G56190),0.000001
GAPC1_(AT3G04120),PGK_(AT1G79550),0.309759218
GAPC1_(AT3G04120),PGK1_(AT3G12780),0.000001
GAPC1_(AT3G04120),PRK_(AT1G32060),0.000001
GAPC1_(AT3G04120),RBCS1A_(AT1G67090),0.000001
GAPC1_(AT3G04120),RBCS1B_(AT5G38430),0.000001
GAPC1_(AT3G04120),RBCS2B_(AT5G38420),0.000001
GAPC1_(AT3G04120),RBCS3B_(AT5G38410),0.000001
GAPC1_(AT3G04120),SBPASE_(AT3G55800),0.000001
GAPC1_(AT3G04120),TKTB_(AT3G60750),0.000001
HCEF1_(AT3G54050),EMB3119_(AT3G04790),0.000001
HCEF1_(AT3G54050),FBA1_(AT2G21330),0.000001
HCEF1_(AT3G54050),FBA2_(AT4G38970),0.031475053
HCEF1_(AT3G54050),FBA8_(AAT3G52930),0.000001
HCEF1_(AT3G54050),FBP_(AT5G64380),0.04455103
HCEF1_(AT3G54050),GAPA_(AT3G26650),0.445516944
HCEF1_(AT3G54050),GAPA-2_(AT1G12900),0.053903493
HCEF1_(AT3G54050),GAPAB_(AT1G42970),0.081731156
HCEF1_(AT3G54050),GAPC1_(AT3G04120),0.000001
HCEF1_(AT3G54050),HCEF1_(AT3G54050),1
HCEF1_(AT3G54050),PGK_(AT1G56190),0.000001
HCEF1_(AT3G54050),PGK_(AT1G79550),0.000001
HCEF1_(AT3G54050),PGK1_(AT3G12780),0.000001
HCEF1_(AT3G54050),PRK_(AT1G32060),0.223389141
HCEF1_(AT3G54050),RBCS1A_(AT1G67090),0.000001
HCEF1_(AT3G54050),RBCS1B_(AT5G38430),0.000001
HCEF1_(AT3G54050),RBCS2B_(AT5G38420),0.000001
HCEF1_(AT3G54050),RBCS3B_(AT5G38410),0.000001
HCEF1_(AT3G54050),SBPASE_(AT3G55800),0.000001
HCEF1_(AT3G54050),TKTB_(AT3G60750),0.000001
PGK_(AT1G56190),EMB3119_(AT3G04790),0.25902259
PGK_(AT1G56190),FBA1_(AT2G21330),0.000001
PGK_(AT1G56190),FBA2_(AT4G38970),0.000001
PGK_(AT1G56190),FBA8_(AAT3G52930),0.000001
PGK_(AT1G56190),FBP_(AT5G64380),0.000001
